Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Jason Demers,D,453,605.35,851.18,5.15,5.0,0.15000000000000036,52.0,71.0,-19.0,5,66.0,4.65,-14.0,0.5,28,24.8,39.3,64.1
Toby Enstrom,D,317,641.65,590.55,5.14,7.42,-2.2800000000000002,55.0,73.0,-18.0,1,72.0,7.32,-17.0,-2.18,27,37.9,32.1,70.0
Jordan Oesterle,D,209,280.63,172.38,5.13,5.92,-0.79,24.0,17.0,7.0,0,17.0,5.92,7.0,-0.79,12,26.6,18.2,44.8
Kevin Bieksa,D,347,444.9,677.47,5.12,5.14,-0.019999999999999574,38.0,58.0,-20.0,1,57.0,5.05,-19.0,0.07,20,25.7,33.4,59.1
Radek Faksa,C,351,234.35,600.05,5.12,7.0,-1.88,20.0,70.0,-50.0,4,66.0,6.6,-46.0,-1.48,9,14.0,33.0,47.0
Vinnie Hinostroza,R,246,187.67,65.38,5.12,4.59,0.5300000000000002,16.0,5.0,11.0,1,4.0,3.67,12.0,1.45,11,14.8,6.0,20.8
Eric Fehr,C,346,93.98,572.2,5.11,6.71,-1.5999999999999996,8.0,64.0,-56.0,7,57.0,5.98,-49.0,-0.87,3,5.3,31.1,36.4
Christian Dvorak,C,246,470.42,188.2,5.1,9.88,-4.780000000000001,40.0,31.0,9.0,0,31.0,9.88,9.0,-4.78,23,38.6,16.2,54.8
Nathan Gerbe,C,238,318.2,223.85,5.09,5.09,0.0,27.0,19.0,8.0,2,17.0,4.56,10.0,0.53,16,26.7,23.2,49.9
Brandon Saad,L,540,979.28,611.6,5.09,6.38,-1.29,83.0,65.0,18.0,8,57.0,5.59,26.0,-0.5,38,35.8,23.5,59.3
Slava Voynov,D,88,248.08,183.63,5.08,3.59,1.4900000000000002,21.0,11.0,10.0,1,10.0,3.27,11.0,1.81,14,47.3,34.8,82.1
Oskar Lindblom,L,134,189.23,110.07,5.07,10.36,-5.289999999999999,16.0,19.0,-3.0,0,19.0,10.36,-3.0,-5.29,8,27.5,18.0,45.5
Jaccob Slavin,D,377,390.57,1009.45,5.07,7.13,-2.0599999999999996,33.0,120.0,-87.0,8,112.0,6.66,-79.0,-1.59,20,21.4,58.4,79.8
Kasperi Kapanen,R,202,165.83,292.07,5.07,7.6,-2.5299999999999994,14.0,37.0,-23.0,5,32.0,6.57,-18.0,-1.5,6,18.7,32.6,51.3
Matt Benning,D,248,130.38,196.5,5.06,7.63,-2.5700000000000003,11.0,25.0,-14.0,2,23.0,7.02,-12.0,-1.96,6,11.9,16.5,28.4
Travis Hamonic,D,454,284.48,1182.7,5.06,7.41,-2.3500000000000005,24.0,146.0,-122.0,4,142.0,7.2,-118.0,-2.14,12,12.2,53.0,65.2
Dmitry Kulikov,D,445,462.73,867.0,5.06,7.82,-2.7600000000000007,39.0,113.0,-74.0,2,111.0,7.68,-72.0,-2.62,20,19.6,38.9,58.5
Joe Colborne,C,279,403.62,117.28,5.05,10.23,-5.180000000000001,34.0,20.0,14.0,1,19.0,9.72,15.0,-4.67,17,27.8,9.0,36.8
Josh Anderson,R,267,249.83,229.62,5.04,4.7,0.33999999999999986,21.0,18.0,3.0,3,15.0,3.92,6.0,1.12,11,20.1,19.2,39.3
Brandon Dubinsky,C,401,596.18,741.62,5.03,7.28,-2.25,50.0,90.0,-40.0,9,81.0,6.55,-31.0,-1.52,32,30.7,36.7,67.4
Dmitry Orlov,D,451,407.62,387.43,5.0,6.35,-1.3499999999999996,34.0,41.0,-7.0,1,40.0,6.19,-6.0,-1.19,19,17.9,15.5,33.4
Jiri Tlusty,L,170,264.27,96.02,4.99,2.5,2.49,22.0,4.0,18.0,2,2.0,1.25,20.0,3.74,13,29.1,11.8,40.9
Radko Gudas,D,457,84.13,986.92,4.99,7.36,-2.37,7.0,121.0,-114.0,1,120.0,7.3,-113.0,-2.31,5,3.3,42.2,45.5
Colin Greening,C,133,108.82,91.63,4.96,6.55,-1.5899999999999999,9.0,10.0,-1.0,0,10.0,6.55,-1.0,-1.59,5,14.8,11.4,26.2
John Moore,D,433,399.33,608.73,4.96,6.41,-1.4500000000000002,33.0,65.0,-32.0,1,64.0,6.31,-31.0,-1.35,20,18.2,27.2,45.4
Sam Bennett,C,364,509.47,168.57,4.95,6.76,-1.8099999999999996,42.0,19.0,23.0,1,18.0,6.41,24.0,-1.46,22,26.6,9.0,35.6
Jarret Stoll,C,231,194.22,417.28,4.94,8.34,-3.3999999999999995,16.0,58.0,-42.0,3,55.0,7.91,-39.0,-2.97,8,15.8,34.5,50.3
Brendan Smith,D,430,121.7,611.03,4.93,7.36,-2.4300000000000006,10.0,75.0,-65.0,3,72.0,7.07,-62.0,-2.14,8,5.2,25.9,31.1
Alexandre Burrows,R,344,561.92,457.67,4.91,6.95,-2.04,46.0,53.0,-7.0,3,50.0,6.55,-4.0,-1.64,24,31.5,26.4,57.9
Scottie Upshall,R,345,158.92,476.88,4.91,7.42,-2.51,13.0,59.0,-46.0,6,53.0,6.67,-40.0,-1.76,7,8.9,26.3,35.2
Patrik Berglund,C,359,441.5,417.7,4.89,5.31,-0.41999999999999993,36.0,37.0,-1.0,1,36.0,5.17,0.0,-0.28,23,24.0,21.4,45.4
Richard Panik,R,444,568.12,177.72,4.86,8.1,-3.2399999999999993,46.0,24.0,22.0,1,23.0,7.77,23.0,-2.91,23,23.8,8.0,31.8
Matt Nieto,L,472,174.15,790.73,4.82,7.28,-2.46,14.0,96.0,-82.0,10,86.0,6.53,-72.0,-1.71,9,6.5,34.0,40.5
Martin Erat,R,149,213.57,109.42,4.78,5.48,-0.7000000000000002,17.0,10.0,7.0,0,10.0,5.48,7.0,-0.7,10,28.1,12.9,41.0
Brian Campbell,D,326,917.45,384.17,4.77,6.4,-1.6300000000000008,73.0,41.0,32.0,3,38.0,5.93,35.0,-1.16,37,52.7,23.9,76.6
Jean-Gabriel Pageau,C,426,341.43,877.57,4.74,7.73,-2.99,27.0,113.0,-86.0,20,93.0,6.36,-66.0,-1.62,14,15.7,41.5,57.2
Luke Kunin,C,131,113.92,175.93,4.74,9.89,-5.15,9.0,29.0,-20.0,2,27.0,9.21,-18.0,-4.47,3,17.3,27.9,45.2
Rich Peverley,C,62,127.1,70.57,4.72,4.25,0.46999999999999975,10.0,5.0,5.0,2,3.0,2.55,7.0,2.17,3,32.5,22.5,55.0
Andre Benoit,D,140,267.3,211.47,4.71,8.23,-3.5200000000000005,21.0,29.0,-8.0,2,27.0,7.66,-6.0,-2.95,9,37.4,29.3,66.7
Matt Read,R,328,396.83,608.83,4.69,6.8,-2.1099999999999994,31.0,69.0,-38.0,6,63.0,6.21,-32.0,-1.52,16,21.9,33.6,55.5
Michael Frolik,R,501,385.05,769.2,4.67,6.16,-1.4900000000000002,30.0,79.0,-49.0,18,61.0,4.76,-31.0,-0.09,18,14.5,28.3,42.8
Mark Arcobello,R,138,154.8,114.52,4.65,6.81,-2.1599999999999993,12.0,13.0,-1.0,1,12.0,6.29,0.0,-1.64,7,21.0,15.4,36.4
Peter Holland,C,241,297.65,159.97,4.64,8.25,-3.6100000000000003,23.0,22.0,1.0,3,19.0,7.13,4.0,-2.49,16,23.2,12.5,35.7
Lars Eller,C,545,532.28,996.62,4.62,5.78,-1.1600000000000001,41.0,96.0,-55.0,11,85.0,5.12,-44.0,-0.5,22,18.8,33.1,51.9
Trevor van Riemsdyk,D,364,104.0,439.12,4.62,6.56,-1.9399999999999995,8.0,48.0,-40.0,1,47.0,6.42,-39.0,-1.8,2,5.8,26.8,32.6
Vladimir Sobotka,C,228,247.32,366.5,4.61,7.2,-2.59,19.0,44.0,-25.0,3,41.0,6.71,-22.0,-2.1,10,20.7,32.2,52.9
Jared McCann,C,310,325.93,164.93,4.6,5.82,-1.2200000000000006,25.0,16.0,9.0,5,11.0,4.0,14.0,0.6,14,20.2,11.2,31.4
Blake Comeau,L,491,274.33,824.97,4.59,6.84,-2.25,21.0,94.0,-73.0,8,86.0,6.25,-65.0,-1.66,11,10.7,31.5,42.2
Kevin Connauton,D,314,235.33,240.57,4.59,7.23,-2.6400000000000006,18.0,29.0,-11.0,2,27.0,6.73,-9.0,-2.14,8,14.1,14.1,28.2
Connor Carrick,D,230,104.7,95.65,4.58,6.27,-1.6899999999999995,8.0,10.0,-2.0,0,10.0,6.27,-2.0,-1.69,5,9.1,8.1,17.2
Calvin de Haan,D,406,157.82,817.42,4.56,7.34,-2.7800000000000002,12.0,100.0,-88.0,1,99.0,7.27,-87.0,-2.71,7,7.5,41.6,49.1
Ian Cole,D,474,92.43,948.32,4.54,7.15,-2.6100000000000003,7.0,113.0,-106.0,0,113.0,7.15,-106.0,-2.61,6,3.6,38.3,41.9
Cody Ceci,D,496,357.53,1270.37,4.53,7.08,-2.55,27.0,150.0,-123.0,2,148.0,6.99,-121.0,-2.46,13,14.3,51.5,65.8
Nikita Soshnikov,R,87,53.07,73.87,4.52,2.44,2.0799999999999996,4.0,3.0,1.0,0,3.0,2.44,1.0,2.08,2,13.0,17.7,30.7
Zack Smith,C,462,384.92,706.75,4.52,6.62,-2.1000000000000005,29.0,78.0,-49.0,18,60.0,5.09,-31.0,-0.57,10,16.2,29.9,46.1
Blake Lizotte,C,66,66.63,71.9,4.5,7.51,-3.01,5.0,9.0,-4.0,3,6.0,5.01,-1.0,-0.51,3,21.9,23.8,45.7
Matt Martin,L,491,53.52,113.75,4.48,8.44,-3.959999999999999,4.0,16.0,-12.0,0,16.0,8.44,-12.0,-3.96,0,2.2,4.9,7.1
Travis Sanheim,D,200,160.8,193.53,4.48,8.37,-3.889999999999999,12.0,27.0,-15.0,0,27.0,8.37,-15.0,-3.89,9,15.5,20.3,35.8
Brandon Montour,D,243,415.5,302.88,4.48,7.13,-2.6499999999999995,31.0,36.0,-5.0,2,34.0,6.74,-3.0,-2.26,21,37.9,24.0,61.9
Jake McCabe,D,340,134.12,619.22,4.47,7.56,-3.09,10.0,78.0,-68.0,2,76.0,7.36,-66.0,-2.89,5,7.7,39.0,46.7
Troy Stecher,D,286,281.75,257.3,4.47,5.13,-0.6600000000000001,21.0,22.0,-1.0,2,20.0,4.66,1.0,-0.19,11,19.3,17.8,37.1
Jordie Benn,D,488,188.28,1056.72,4.46,8.29,-3.829999999999999,14.0,146.0,-132.0,3,143.0,8.12,-129.0,-3.66,7,7.1,42.6,49.7
Olli Jokinen,C,144,175.05,121.92,4.46,7.87,-3.41,13.0,16.0,-3.0,0,16.0,7.87,-3.0,-3.41,8,22.6,15.2,37.8
Victor Mete,D,171,94.33,100.7,4.45,5.36,-0.9100000000000001,7.0,9.0,-2.0,0,9.0,5.36,-2.0,-0.91,5,11.1,11.8,22.9
Brian Flynn,C,249,67.97,468.52,4.41,6.15,-1.7400000000000002,5.0,48.0,-43.0,5,43.0,5.51,-38.0,-1.1,1,5.2,34.4,39.6
Zemgus Girgensons,C,489,233.27,848.05,4.37,8.7,-4.329999999999999,17.0,123.0,-106.0,9,114.0,8.07,-97.0,-3.7,6,9.3,36.1,45.4
Brandon Sutter,C,393,540.57,941.85,4.33,5.92,-1.5899999999999999,39.0,93.0,-54.0,13,80.0,5.1,-41.0,-0.77,23,26.4,46.0,72.4
Nicholas Shore,C,299,69.63,368.43,4.31,4.72,-0.41000000000000014,5.0,29.0,-24.0,1,28.0,4.56,-23.0,-0.25,4,4.9,23.6,28.5
Jujhar Khaira,L,218,56.22,273.87,4.27,4.6,-0.33000000000000007,4.0,21.0,-17.0,4,17.0,3.72,-13.0,0.55,1,5.7,25.3,31.0
Marc Staal,D,504,56.22,1211.27,4.27,6.89,-2.62,4.0,139.0,-135.0,4,135.0,6.69,-131.0,-2.42,1,2.3,48.1,50.4
Zach Sanford,L,157,70.53,68.35,4.25,1.76,2.49,5.0,2.0,3.0,0,2.0,1.76,3.0,2.49,2,9.4,9.3,18.7
Austin Czarnik,C,121,170.48,65.72,4.22,1.83,2.3899999999999997,12.0,2.0,10.0,0,2.0,1.83,10.0,2.39,8,27.2,10.8,38.0
Nikita Nikitin,D,119,129.33,122.87,4.18,5.37,-1.1900000000000004,9.0,11.0,-2.0,0,11.0,5.37,-2.0,-1.19,3,20.1,19.8,39.9
Mike Richards,C,174,303.35,255.78,4.15,5.4,-1.25,21.0,23.0,-2.0,2,21.0,4.93,0.0,-0.78,15,30.7,26.1,56.8
Marcus Foligno,L,504,188.58,539.83,4.14,5.67,-1.5300000000000002,13.0,51.0,-38.0,6,45.0,5.0,-32.0,-0.86,7,7.5,21.2,28.7
Cody Eakin,C,508,595.12,836.77,4.13,8.17,-4.04,41.0,114.0,-73.0,14,100.0,7.17,-59.0,-3.04,21,22.2,33.5,55.7
Justin Braun,D,534,203.5,1179.15,4.13,7.53,-3.4000000000000004,14.0,148.0,-134.0,2,146.0,7.43,-132.0,-3.3,6,7.2,48.4,55.6
Brock McGinn,L,308,58.2,495.15,4.12,5.94,-1.8200000000000003,4.0,49.0,-45.0,5,44.0,5.33,-40.0,-1.21,3,3.8,35.0,38.8
Mark Barberio,D,270,147.1,250.2,4.08,3.6,0.48,10.0,15.0,-5.0,2,13.0,3.12,-3.0,0.96,6,10.3,17.6,27.9
Zach Trotman,D,91,59.12,98.88,4.06,3.64,0.4199999999999995,4.0,6.0,-2.0,0,6.0,3.64,-2.0,0.42,1,13.7,20.8,34.5
Zack Kassian,R,442,133.03,303.45,4.06,7.71,-3.6500000000000004,9.0,39.0,-30.0,3,36.0,7.12,-27.0,-3.06,3,6.4,13.4,19.8
Ryan Hartman,R,314,119.15,139.77,4.03,7.73,-3.7,8.0,18.0,-10.0,0,18.0,7.73,-10.0,-3.7,4,7.2,9.4,16.6
Jannik Hansen,R,308,135.0,381.0,4.0,6.61,-2.6100000000000003,9.0,42.0,-33.0,6,36.0,5.67,-27.0,-1.67,2,8.5,23.9,32.4
Danny DeKeyser,D,430,317.27,1060.65,3.97,7.92,-3.9499999999999997,21.0,140.0,-119.0,1,139.0,7.86,-118.0,-3.89,10,14.1,47.1,61.2
Steve Ott,C,234,166.25,421.05,3.97,5.99,-2.02,11.0,42.0,-31.0,0,42.0,5.99,-31.0,-2.02,8,13.5,34.3,47.8
Sergey Kalinin,C,121,121.05,103.73,3.97,6.94,-2.97,8.0,12.0,-4.0,0,12.0,6.94,-4.0,-2.97,3,18.8,15.7,34.5
Brian Dumoulin,D,347,136.62,686.22,3.95,6.82,-2.87,9.0,78.0,-69.0,5,73.0,6.38,-64.0,-2.43,5,7.7,39.1,46.8
Dale Weise,R,395,198.83,142.98,3.92,8.39,-4.470000000000001,13.0,20.0,-7.0,1,19.0,7.97,-6.0,-4.05,9,9.5,7.1,16.6
Mikhail Grigorenko,C,192,277.12,124.97,3.9,5.28,-1.3800000000000003,18.0,11.0,7.0,0,11.0,5.28,7.0,-1.38,11,27.9,12.5,40.4
Zach Bogosian,D,347,323.42,722.22,3.9,5.48,-1.5800000000000005,21.0,66.0,-45.0,3,63.0,5.23,-42.0,-1.33,11,18.2,39.5,57.7
Andrej Meszaros,D,112,147.55,98.9,3.66,6.67,-3.01,9.0,11.0,-2.0,0,11.0,6.67,-2.0,-3.01,3,25.7,14.6,40.3
Alexei Emelin,D,351,67.2,733.1,3.57,7.78,-4.210000000000001,4.0,95.0,-91.0,0,95.0,7.78,-91.0,-4.21,3,3.6,38.9,42.5
Ron Hainsey,D,541,135.73,1528.97,3.54,6.87,-3.33,8.0,175.0,-167.0,10,165.0,6.47,-157.0,-2.93,2,5.1,62.5,67.6
Stephen Johns,D,167,68.35,306.67,3.51,6.65,-3.1400000000000006,4.0,34.0,-30.0,1,33.0,6.46,-29.0,-2.95,1,8.0,34.8,42.8
Brandon Manning,D,245,51.58,350.05,3.49,8.23,-4.74,3.0,48.0,-45.0,1,47.0,8.06,-44.0,-4.57,1,3.9,28.8,32.7
Tom Gilbert,D,208,252.65,305.2,3.32,7.86,-4.540000000000001,14.0,40.0,-26.0,1,39.0,7.67,-25.0,-4.35,7,22.3,28.1,50.4
Erik Gudbranson,D,414,162.77,971.32,3.32,8.83,-5.51,9.0,143.0,-134.0,2,141.0,8.71,-132.0,-5.39,5,7.3,46.1,53.4
Valeri Nichushkin,R,288,307.77,56.7,3.31,3.17,0.14000000000000012,17.0,3.0,14.0,1,2.0,2.12,15.0,1.19,6,20.2,4.0,24.2
Dainius Zubrus,C,206,54.67,328.63,3.29,4.2,-0.9100000000000001,3.0,23.0,-20.0,1,22.0,4.02,-19.0,-0.73,1,5.4,29.2,34.6
Grant Clitsome,D,56,54.98,77.12,3.27,4.67,-1.4,3.0,6.0,-3.0,0,6.0,4.67,-3.0,-1.4,2,17.9,23.2,41.1
Adam Larsson,D,445,73.4,1020.88,3.27,6.35,-3.0799999999999996,4.0,108.0,-104.0,5,103.0,6.05,-99.0,-2.78,0,3.5,45.0,48.5
MacKenzie Weegar,D,172,56.62,181.57,3.18,5.95,-2.77,3.0,18.0,-15.0,0,18.0,5.95,-15.0,-2.77,1,6.4,24.0,30.4
Raphael Diaz,D,119,152.1,129.2,3.16,3.25,-0.08999999999999986,8.0,7.0,1.0,1,6.0,2.79,2.0,0.37,5,23.3,23.3,46.6
Tomas Fleischmann,L,222,328.55,252.02,3.1,8.57,-5.470000000000001,17.0,36.0,-19.0,2,34.0,8.09,-17.0,-4.99,9,27.3,22.0,49.3
Dan Hamhuis,D,472,483.73,1140.07,3.1,7.21,-4.109999999999999,25.0,137.0,-112.0,2,135.0,7.1,-110.0,-4.0,12,19.6,46.0,65.6
Justin Fontaine,R,197,97.77,108.9,3.07,4.41,-1.3400000000000003,5.0,8.0,-3.0,1,7.0,3.86,-2.0,-0.79,4,9.4,11.2,20.6
Michael Raffl,L,470,176.08,405.03,3.07,5.33,-2.2600000000000002,9.0,36.0,-27.0,3,33.0,4.89,-24.0,-1.82,6,6.8,16.5,23.3
Chris Higgins,L,188,280.4,347.52,3.0,6.04,-3.04,14.0,35.0,-21.0,2,33.0,5.7,-19.0,-2.7,8,29.1,33.4,62.5
Marcel Goc,C,148,80.98,337.12,2.96,6.76,-3.8,4.0,38.0,-34.0,1,37.0,6.59,-33.0,-3.63,2,10.0,42.9,52.9
Marc Methot,D,302,61.5,665.6,2.93,7.12,-4.1899999999999995,3.0,79.0,-76.0,0,79.0,7.12,-76.0,-4.19,3,3.9,40.9,44.8
Thomas Hickey,D,410,123.47,820.85,2.92,7.16,-4.24,6.0,98.0,-92.0,4,94.0,6.87,-88.0,-3.95,4,5.8,41.6,47.4
Kevin Gravel,D,109,62.2,90.28,2.89,4.65,-1.7600000000000002,3.0,7.0,-4.0,0,7.0,4.65,-4.0,-1.76,3,11.8,15.9,27.7
Connor Murphy,D,444,124.93,842.53,2.88,7.41,-4.53,6.0,104.0,-98.0,2,102.0,7.26,-96.0,-4.38,3,5.3,36.5,41.8
Mark Jankowski,C,208,84.2,344.18,2.85,5.4,-2.5500000000000003,4.0,31.0,-27.0,10,21.0,3.66,-17.0,-0.81,3,7.7,33.2,40.9
Mark Pysyk,D,398,110.2,687.83,2.72,6.8,-4.08,5.0,78.0,-73.0,2,76.0,6.63,-71.0,-3.91,3,5.3,35.8,41.1
Cal Clutterbuck,R,478,243.05,905.9,2.72,6.89,-4.17,11.0,104.0,-93.0,14,90.0,5.96,-79.0,-3.24,5,10.2,40.1,50.3
Dwight King,L,285,113.63,338.92,2.64,4.96,-2.32,5.0,28.0,-23.0,3,25.0,4.43,-20.0,-1.79,2,7.7,22.4,30.1
Simon Despres,D,142,68.85,162.72,2.61,3.32,-0.71,3.0,9.0,-6.0,0,9.0,3.32,-6.0,-0.71,3,9.4,19.6,29.0
Andrew Copp,C,356,97.82,552.67,2.45,6.51,-4.06,4.0,60.0,-56.0,8,52.0,5.65,-48.0,-3.2,1,5.3,30.0,35.3
Michal Rozsival,D,180,73.68,124.0,2.44,6.77,-4.33,3.0,14.0,-11.0,1,13.0,6.29,-10.0,-3.85,2,8.1,14.8,22.9
Melker Karlsson,C,396,100.75,537.78,2.38,5.8,-3.42,4.0,52.0,-48.0,3,49.0,5.47,-45.0,-3.09,1,5.0,28.9,33.9
Josh Gorges,D,289,75.78,774.68,2.38,6.74,-4.36,3.0,87.0,-84.0,2,85.0,6.58,-82.0,-4.2,1,5.1,52.7,57.8
Dennis Seidenberg,D,278,51.07,639.13,2.35,5.44,-3.0900000000000003,2.0,58.0,-56.0,0,58.0,5.44,-56.0,-3.09,1,4.0,45.1,49.1
Shawn Matthias,L,298,78.78,409.07,2.28,6.6,-4.32,3.0,45.0,-42.0,3,42.0,6.16,-39.0,-3.88,1,4.9,25.3,30.2
Carl Hagelin,L,492,55.07,1038.95,2.18,5.37,-3.19,2.0,93.0,-91.0,10,83.0,4.79,-81.0,-2.61,1,2.2,41.1,43.3
Devante Smith-Pelly,R,339,195.75,336.67,2.15,6.06,-3.9099999999999997,7.0,34.0,-27.0,2,32.0,5.7,-25.0,-3.55,4,11.1,18.4,29.5
Cody McLeod,L,380,56.52,283.75,2.12,4.86,-2.74,2.0,23.0,-21.0,2,21.0,4.44,-19.0,-2.32,1,2.8,14.1,16.9
Andrew Cogliano,C,554,59.48,912.32,2.02,5.39,-3.3699999999999997,2.0,82.0,-80.0,19,63.0,4.14,-61.0,-2.12,1,2.1,29.6,31.7
Tomas Kopecky,R,113,76.63,234.77,1.57,3.83,-2.26,2.0,15.0,-13.0,1,14.0,3.58,-12.0,-2.01,0,12.5,41.4,53.9
Daniel Cleary,R,69,79.62,87.0,0.75,4.83,-4.08,1.0,7.0,-6.0,1,6.0,4.14,-5.0,-3.39,0,20.4,19.9,40.3
